rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
140000,12000,24000,10000,20000,2,1399998,1399998,0,0,0.0,0.008884752366789097,0.009277,0.009907,0.014371,0.076981,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_10000_run2.csv
140000,12000,24000,10000,20000,3,1399998,1399998,0,0,0.0,0.00764634954335649,0.0065,0.009611,0.011481,0.076092,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_10000_run3.csv
140000,12000,24000,12000,24000,1,1376304,1376304,0,23694,0.017215673281484323,0.03468734292060475,0.009166,0.009815,0.013666,465.873268,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_12000_run1.csv
140000,12000,24000,12000,24000,2,1399998,1399998,0,0,0.0,0.008033842266203238,0.009018,0.009852,0.014278,0.305888,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_12000_run2.csv
140000,12000,24000,12000,24000,3,1399440,1399440,0,513,0.0003665752015091751,0.008997427000085748,0.009037,0.009759,0.017203610000000102,4.119878,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_12000_run3.csv
140000,12000,24000,16000,32000,1,1370793,1370793,0,29205,0.021305186122193506,0.02074358156920848,0.006315,0.006536999999999999,0.008352,250.157552,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_16000_run1.csv
140000,12000,24000,16000,32000,2,1399860,1399860,0,138,9.858128670009858e-05,0.007062767693197892,0.006315,0.009315,0.009723,1.534755,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_16000_run2.csv
140000,12000,24000,16000,32000,3,1399833,1399833,0,165,0.00011787120320781121,0.007407047217060893,0.007796,0.008074,0.009037,1.687792,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_16000_run3.csv
140000,12000,24000,2000,4608,1,1396734,1396734,0,3264,0.002336880179046261,0.008349138788774383,0.006297,0.009296,0.017037,23.839454,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_2000_run1.csv
140000,12000,24000,2000,4608,2,1399821,1399821,0,177,0.00012644473829153871,0.006472318505723232,0.006278,0.006482,0.008741,1.408533,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_2000_run2.csv
