rate_hz,rcvbuf_requested,rcvbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
25000,10000,20000,3,250002,250002,0,0,0.0,0.012731034595723233,0.013092,0.014223,0.017704,2.440459,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_10000_sndbuf_default_run3.csv
25000,1000,2304,1,250002,250002,0,0,0.0,0.012465855869153046,0.012926,0.014093,0.014574,0.189518,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_1000_sndbuf_default_run1.csv
25000,1000,2304,2,249963,249963,0,39,0.0001560230914175298,0.011996353644339363,0.013481,0.014167,0.014648000000000001,1.829312,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_1000_sndbuf_default_run2.csv
25000,1000,2304,3,249732,249732,0,270,0.001081159002450627,0.012085068797751189,0.010204,0.014221999999999999,0.014777,7.409748,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_1000_sndbuf_default_run3.csv
25000,50000,100000,1,250002,250002,0,0,0.0,0.013208983164134687,0.013574,0.014259,0.014889,3.917882,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_50000_sndbuf_default_run1.csv
25000,50000,100000,2,250002,250002,0,0,0.0,0.0127870575875393,0.0135,0.014111,0.014537,0.295944,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_50000_sndbuf_default_run2.csv
25000,50000,100000,3,250002,250002,0,0,0.0,0.012874362361101111,0.012815,0.013315,0.014593,0.175611,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_50000_sndbuf_default_run3.csv
25000,5000,10000,1,249873,249873,0,129,0.0005162622612287042,0.013010669868293093,0.012574,0.013148,0.013944,4.19103,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_5000_sndbuf_default_run1.csv
25000,5000,10000,2,249936,249936,0,66,0.00026406760130593434,0.01295757627952756,0.012685,0.013315,0.014500000000000002,3.971512,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_5000_sndbuf_default_run2.csv
25000,5000,10000,3,250002,250002,0,0,0.0,0.012750893824849402,0.013297,0.01426,0.017241,0.144055,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_5000_sndbuf_default_run3.csv
50000,100000,200000,1,500001,500001,0,0,0.0,0.013101755752488497,0.012037,0.013148,0.013871,6.895027,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_50000_rcvbuf_100000_sndbuf_default_run1.csv
50000,100000,200000,2,500001,500001,0,0,0.0,0.010928294293411413,0.012204,0.013296,0.014019,1.330516,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_50000_rcvbuf_100000_sndbuf_default_run2.csv
