rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
18000,12000,24000,12000,24000,1,179403,0,179403,600,0.00334443,0.028282079,0.012648000,0.013278000,0.014000000,31.734740000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_12000_run1.csv
18000,12000,24000,12000,24000,2,179820,0,179820,183,0.00101768,0.019472952,0.013833000,0.014407000,0.014981000,12.440114000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_12000_run2.csv
18000,12000,24000,12000,24000,3,179904,0,179904,99,0.00055029,0.016145157,0.012759000,0.013741000,0.014167000,9.790684000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_12000_run3.csv
18000,12000,24000,16000,32000,1,179139,0,179139,864,0.00482307,0.033599592,0.013000000,0.014130000,0.018130000,52.157034000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_16000_run1.csv
18000,12000,24000,16000,32000,2,180003,0,180003,0,0.00000000,0.011492909,0.012629000,0.013315000,0.013926000,0.083000000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_16000_run2.csv
18000,12000,24000,16000,32000,3,180003,0,180003,0,0.00000000,0.011590420,0.012685000,0.013444000,0.014000000,0.654816000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_16000_run3.csv
18000,12000,24000,2000,4608,1,179952,0,179952,51,0.00028341,0.015231373,0.012870000,0.013666000,0.014815000,7.100123000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_2000_run1.csv
18000,12000,24000,2000,4608,2,180003,0,180003,0,0.00000000,0.013193723,0.012944000,0.014722000,0.018037000,0.079518000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_2000_run2.csv
18000,12000,24000,2000,4608,3,179907,0,179907,96,0.00053361,0.016193469,0.012778000,0.013351000,0.014666000,9.581720000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_2000_run3.csv
18000,12000,24000,4000,8000,1,180003,0,180003,0,0.00000000,0.012897996,0.012815000,0.013760000,0.014167000,1.961911000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_4000_run1.csv
18000,12000,24000,4000,8000,2,180003,0,180003,0,0.00000000,0.012381034,0.012963000,0.013574000,0.014223000,0.178352000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_4000_run2.csv
18000,12000,24000,4000,8000,3,180003,0,180003,0,0.00000000,0.012536441,0.012685000,0.013333000,0.013981000,2.650023000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_4000_run3.csv
18000,12000,24000,8000,16000,1,180003,0,180003,0,0.00000000,0.010197328,0.009444000,0.013389000,0.014037000,0.188241000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_8000_run1.csv
18000,12000,24000,8000,16000,2,180003,0,180003,0,0.00000000,0.011904997,0.013592000,0.014223000,0.014908000,0.194185000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_8000_run2.csv
18000,12000,24000,8000,16000,3,180003,0,180003,0,0.00000000,0.013127468,0.012870000,0.013463000,0.014611000,1.564743000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_8000_run3.csv
18000,16000,32000,10000,20000,1,180003,0,180003,0,0.00000000,0.012307993,0.012907000,0.014000000,0.014463000,1.364428000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_10000_run1.csv
18000,16000,32000,10000,20000,2,179712,0,179712,291,0.00161926,0.022882665,0.012870000,0.013666000,0.014148000,21.828241000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_10000_run2.csv
18000,16000,32000,10000,20000,3,180003,0,180003,0,0.00000000,0.010974912,0.009759000,0.013371000,0.017500000,0.379982000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_10000_run3.csv
18000,16000,32000,12000,24000,1,180003,0,180003,0,0.00000000,0.013945199,0.012703000,0.013315000,0.014741000,4.501878000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_12000_run1.csv
18000,16000,32000,12000,24000,2,180003,0,180003,0,0.00000000,0.012229201,0.012760000,0.013352000,0.014000000,0.335316000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_12000_run2.csv
18000,16000,32000,12000,24000,3,180003,0,180003,0,0.00000000,0.012536683,0.012815000,0.013407000,0.014130000,2.271930000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_12000_run3.csv
18000,16000,32000,16000,32000,1,180003,0,180003,0,0.00000000,0.012266583,0.012833000,0.013445000,0.014074000,0.078944000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_16000_run1.csv
18000,16000,32000,16000,32000,2,180003,0,180003,0,0.00000000,0.011781573,0.012648000,0.013223000,0.013796000,0.081166000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_16000_run2.csv
18000,16000,32000,16000,32000,3,180003,0,180003,0,0.00000000,0.013084387,0.012796000,0.013407000,0.014092000,4.636212000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_16000_run3.csv
18000,16000,32000,2000,4608,1,180003,0,180003,0,0.00000000,0.012213076,0.012759000,0.013370000,0.013907000,0.195371000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_2000_run1.csv
18000,16000,32000,2000,4608,2,180003,0,180003,0,0.00000000,0.013025307,0.013815000,0.014703000,0.019796000,1.906281000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_2000_run2.csv
18000,16000,32000,2000,4608,3,179988,0,179988,15,0.00008334,0.015136143,0.012648000,0.013241000,0.014280340,6.505437000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_2000_run3.csv
18000,16000,32000,4000,8000,1,180003,0,180003,0,0.00000000,0.012371815,0.012814000,0.013796000,0.014167000,0.082278000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_4000_run1.csv
18000,16000,32000,4000,8000,2,180003,0,180003,0,0.00000000,0.011664862,0.012593000,0.013297000,0.013944000,1.590169000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_4000_run2.csv
18000,16000,32000,4000,8000,3,180003,0,180003,0,0.00000000,0.013216649,0.012945000,0.013500000,0.014592000,1.931004000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_4000_run3.csv
18000,16000,32000,8000,16000,1,180003,0,180003,0,0.00000000,0.012162647,0.012741000,0.013315000,0.013815000,0.180130000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_8000_run1.csv
18000,16000,32000,8000,16000,2,180003,0,180003,0,0.00000000,0.013937369,0.012760000,0.013371000,0.013963000,5.541991000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_8000_run2.csv
18000,16000,32000,8000,16000,3,180003,0,180003,0,0.00000000,0.012349191,0.012759000,0.013741000,0.014167000,0.166167000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_16000_sndbuf_8000_run3.csv
18000,8000,16000,10000,20000,1,180003,0,180003,0,0.00000000,0.012730801,0.012667000,0.013278000,0.014296000,0.079000000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_10000_run1.csv
18000,8000,16000,10000,20000,2,180003,0,180003,0,0.00000000,0.012809220,0.012741000,0.013278000,0.014333000,0.184205000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_10000_run2.csv
18000,8000,16000,10000,20000,3,180003,0,180003,0,0.00000000,0.012964976,0.013722000,0.014278000,0.015129000,0.088222000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_10000_run3.csv
18000,8000,16000,12000,24000,1,180003,0,180003,0,0.00000000,0.012240747,0.012815000,0.013426000,0.014037000,0.091000000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_12000_run1.csv
18000,8000,16000,12000,24000,2,180003,0,180003,0,0.00000000,0.013426757,0.012870000,0.013408000,0.014723000,6.187344000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_12000_run2.csv
18000,8000,16000,12000,24000,3,180003,0,180003,0,0.00000000,0.012422513,0.012889000,0.013889000,0.014315000,0.364631000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_12000_run3.csv
18000,8000,16000,16000,32000,1,178989,0,178989,1014,0.00566515,0.029407573,0.012870000,0.013481000,0.014482000,59.094583000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_16000_run1.csv
18000,8000,16000,16000,32000,2,180003,0,180003,0,0.00000000,0.012240074,0.012815000,0.013445000,0.014018000,0.078593000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_16000_run2.csv
18000,8000,16000,16000,32000,3,179976,0,179976,27,0.00015002,0.013311808,0.012852000,0.013926000,0.014611000,4.190840000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_16000_run3.csv
18000,8000,16000,2000,4608,1,180003,0,180003,0,0.00000000,0.012462636,0.012907000,0.013723000,0.017871000,0.079723000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_2000_run1.csv
18000,8000,16000,2000,4608,2,180003,0,180003,0,0.00000000,0.012305698,0.012833000,0.013722000,0.014148000,0.143852000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_2000_run2.csv
18000,8000,16000,2000,4608,3,179958,0,179958,45,0.00025006,0.013271091,0.012704000,0.013371000,0.014063740,5.232546000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_2000_run3.csv
18000,8000,16000,4000,8000,1,180003,0,180003,0,0.00000000,0.012510258,0.012796000,0.013370000,0.014037000,2.235559000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_4000_run1.csv
18000,8000,16000,4000,8000,2,180003,0,180003,0,0.00000000,0.013025552,0.012963000,0.013537000,0.014315000,0.179389000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_4000_run2.csv
18000,8000,16000,4000,8000,3,180003,0,180003,0,0.00000000,0.012709737,0.012852000,0.013760000,0.014167000,0.186463000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_4000_run3.csv
18000,8000,16000,8000,16000,1,180003,0,180003,0,0.00000000,0.012957794,0.012889000,0.013426000,0.014611000,0.183242000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_8000_run1.csv
18000,8000,16000,8000,16000,2,180003,0,180003,0,0.00000000,0.013488875,0.012963000,0.013574000,0.014981000,2.839986000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_8000_run2.csv
18000,8000,16000,8000,16000,3,179943,0,179943,60,0.00033344,0.013608361,0.012740000,0.013333000,0.013889000,6.009399000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_8000_sndbuf_8000_run3.csv
