rate_hz,rx_pin,tx_pin,trial,rx_core,tx_core,rx_effective_core,tx_effective_core,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,first_edge_count,first_edge_mean_latency_ms,first_edge_max_latency_ms,last_edge_count,last_edge_mean_latency_ms,last_edge_max_latency_ms,middle_mean_latency_ms,first_edge_minus_middle_mean_ms,last_edge_minus_middle_mean_ms,tx_status,rx_status,copy_status,run_validity,source_csv
500000,on,on,3,0,1,0,1,3810039,3810039,0,389124,0.10213123802669737,0.3502132007664488,0.005389,0.007852,0.010537,1451.261113,3,0.056704,0.056704,3,0.031667,0.031667,0.3502136826956617,-0.29350968269566174,-0.3185466826956617,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_on_txpin_on_run3.csv
50000,off,off,1,0,1,default,default,500001,500001,0,0,0.0,0.00922698083003834,0.008834,0.009185,0.009556,2.472319,3,0.066519,0.066519,3,0.028463,0.028463,0.009226521657216573,0.05729247834278342,0.019236478342783428,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_off_txpin_off_run1.csv
50000,off,off,2,0,1,default,default,500001,500001,0,0,0.0,0.008466269801460397,0.008722,0.009074,0.009333,2.828652,3,0.04711099999999999,0.047111,3,0.030667,0.030667,0.008465904725047251,0.038645095274952745,0.02220109527495275,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_off_txpin_off_run2.csv
50000,off,off,3,0,1,default,default,500001,500001,0,0,0.0,0.011040907426185147,0.012204,0.01337,0.014018,1.723503,3,0.048704,0.048704,3,0.19764799999999996,0.197648,0.011039561791617917,0.037664438208382084,0.18660843820838205,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_off_txpin_off_run3.csv
50000,off,on,1,0,1,default,1,500001,500001,0,0,0.0,0.012929647380705239,0.011389,0.012019,0.013055,7.394012,3,0.045371,0.045371,3,0.170408,0.170408,0.01292850785107851,0.03244249214892149,0.15747949214892148,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_off_txpin_on_run1.csv
50000,off,on,2,0,1,default,1,500001,500001,0,0,0.0,0.009551311003377992,0.011241,0.011815,0.012908,0.226315,3,0.044686,0.044686,3,0.085075,0.085075,0.009550647046470465,0.03513535295352953,0.07552435295352954,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_off_txpin_on_run2.csv
50000,off,on,3,0,1,default,1,500001,500001,0,0,0.0,0.010652541378917243,0.011241,0.011759,0.012648,0.376945,3,0.059889,0.059889,3,0.19487,0.19487,0.010651140641406414,0.04923785935859358,0.18421885935859358,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_off_txpin_on_run3.csv
50000,on,off,1,0,1,0,default,500001,500001,0,0,0.0,0.00880734131531737,0.008797,0.009148,0.009593,0.280001,3,0.058982,0.058982,3,0.028425999999999996,0.028426,0.008806922551225513,0.05017507744877449,0.01961907744877448,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_on_txpin_off_run1.csv
50000,on,off,2,0,1,0,default,500001,500001,0,0,0.0,0.008929883828232343,0.008722,0.009056,0.009759,1.706965,3,0.07587,0.07587,3,0.030741,0.030741,0.008929351315513156,0.06694064868448685,0.021811648684486845,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_on_txpin_off_run2.csv
50000,on,off,3,0,1,0,default,500001,500001,0,0,0.0,0.007914944188111624,0.008685,0.009037,0.009334,0.603705,3,0.07287,0.07287,3,0.037037,0.037037,0.007914379719797198,0.06495562028020281,0.0291226202802028,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_on_txpin_off_run3.csv
50000,on,on,1,0,1,0,1,500001,500001,0,0,0.0,0.007937977044045912,0.008648,0.009,0.009278,1.792947,3,0.048518,0.048518,3,1.792947,1.792947,0.007927023400234002,0.040590976599765995,1.785019976599766,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_on_txpin_on_run1.csv
