rate_hz,rcvbuf_requested,rcvbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,last_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
18000,65536,131072,2,180003,180003,0,0,0.00000000,0.014916,0.013629,0.018222,0.021389,4.050099,0.062018,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_65536_run2.csv
18000,65536,131072,3,180003,180003,0,0,0.00000000,0.013894,0.013000,0.017223,0.018593,3.206101,0.089981,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_65536_run3.csv
18000,262144,425984,1,180003,180003,0,0,0.00000000,0.012771,0.013130,0.013778,0.014204,0.190870,0.190870,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_262144_run1.csv
18000,262144,425984,2,180003,180003,0,0,0.00000000,0.035283,0.013092,0.013722,0.015204,17.519355,0.224314,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_262144_run2.csv
18000,262144,425984,3,180003,180003,0,0,0.00000000,0.009892,0.009204,0.013555,0.014259,3.661693,0.085278,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_262144_run3.csv
18000,1048576,425984,1,180003,180003,0,0,0.00000000,0.013051,0.012945,0.013593,0.014741,0.801535,0.189685,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_1048576_run1.csv
18000,1048576,425984,2,180003,180003,0,0,0.00000000,0.013875,0.013092,0.013703,0.014148,3.900433,3.170787,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_1048576_run2.csv
18000,1048576,425984,3,180003,180003,0,0,0.00000000,0.012948,0.013000,0.013630,0.014203,0.174426,0.090981,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_1048576_run3.csv
18000,4194304,425984,1,180003,180003,0,0,0.00000000,0.012916,0.013018,0.013649,0.014129,0.689739,0.200777,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_4194304_run1.csv
18000,4194304,425984,2,180003,180003,0,0,0.00000000,0.011677,0.012908,0.013741,0.014241,0.204741,0.086666,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_4194304_run2.csv
18000,4194304,425984,3,180003,180003,0,0,0.00000000,0.012859,0.012055,0.013777,0.018685,4.084562,0.051815,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_4194304_run3.csv
