mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us
baremetal,pico,519,10000,7182900,10881,881
baremetal,pico,520,10000,7191061,8161,-1839
baremetal,pico,521,10000,7201942,10881,881
baremetal,pico,522,10000,7212823,10881,881
baremetal,pico,523,10000,7220984,8161,-1839
baremetal,pico,524,10000,7231866,10882,882
baremetal,pico,525,10000,7242747,10881,881
baremetal,pico,526,10000,7250908,8161,-1839
baremetal,pico,527,10000,7261789,10881,881
baremetal,pico,528,10000,7272671,10882,882
baremetal,pico,529,10000,7280832,8161,-1839
baremetal,pico,530,10000,7291713,10881,881
baremetal,pico,531,10000,7302594,10881,881
baremetal,pico,532,10000,7310755,8161,-1839
baremetal,pico,533,10000,7321636,10881,881
baremetal,pico,534,10000,7332518,10882,882
baremetal,pico,535,10000,7340679,8161,-1839
baremetal,pico,536,10000,7351560,10881,881
baremetal,pico,537,10000,7362441,10881,881
baremetal,pico,538,10000,7373323,10882,882
baremetal,pico,539,10000,7381484,8161,-1839
baremetal,pico,540,10000,7392365,10881,881
baremetal,pico,541,10000,7403246,10881,881
baremetal,pico,542,10000,7411407,8161,-1839
baremetal,pico,543,10000,7422288,10881,881
baremetal,pico,544,10000,7433170,10882,882
baremetal,pico,545,10000,7441331,8161,-1839
baremetal,pico,546,10000,7452212,10881,881
baremetal,pico,547,10000,7463093,10881,881
baremetal,pico,548,10000,7471254,8161,-1839
baremetal,pico,549,10000,7482136,10882,882
baremetal,pico,550,10000,7493017,10881,881
baremetal,pico,551,10000,7501178,8161,-1839
baremetal,pico,552,10000,7512059,10881,881
baremetal,pico,553,10000,7522940,10881,881
baremetal,pico,554,10000,7531101,8161,-1839
baremetal,pico,555,10000,7541983,10882,882
baremetal,pico,556,10000,7552864,10881,881
baremetal,pico,557,10000,7561025,8161,-1839
baremetal,pico,558,10000,7571906,10881,881
baremetal,pico,559,10000,7582788,10882,882
baremetal,pico,560,10000,7590949,8161,-1839
baremetal,pico,561,10000,7601830,10881,881
baremetal,pico,562,10000,7612711,10881,881
baremetal,pico,563,10000,7620872,8161,-1839
baremetal,pico,564,10000,7631753,10881,881
baremetal,pico,565,10000,7642635,10882,882
baremetal,pico,566,10000,7650796,8161,-1839
baremetal,pico,567,10000,7661677,10881,881
baremetal,pico,568,10000,7672558,10881,881
baremetal,pico,569,10000,7680719,8161,-1839
baremetal,pico,570,10000,7691601,10882,882
baremetal,pico,571,10000,7702482,10881,881
baremetal,pico,572,10000,7713363,10881,881
baremetal,pico,573,10000,7721524,8161,-1839
baremetal,pico,574,10000,7732405,10881,881
baremetal,pico,575,10000,7743287,10882,882
baremetal,pico,576,10000,7751448,8161,-1839
baremetal,pico,577,10000,7762329,10881,881
baremetal,pico,578,10000,7773210,10881,881
baremetal,pico,579,10000,7781371,8161,-1839
baremetal,pico,580,10000,7792253,10882,882
baremetal,pico,581,10000,7803134,10881,881
baremetal,pico,582,10000,7811295,8161,-1839
baremetal,pico,583,10000,7822176,10881,881
baremetal,pico,584,10000,7833057,10881,881
baremetal,pico,585,10000,7841218,8161,-1839
baremetal,pico,586,10000,7852100,10882,882
baremetal,pico,587,10000,7862981,10881,881
baremetal,pico,588,10000,7871142,8161,-1839
baremetal,pico,589,10000,7882023,10881,881
baremetal,pico,590,10000,7892905,10882,882
baremetal,pico,591,10000,7901066,8161,-1839
baremetal,pico,592,10000,7911947,10881,881
baremetal,pico,593,10000,7922828,10881,881
baremetal,pico,594,10000,7930989,8161,-1839
baremetal,pico,595,10000,7941870,10881,881
baremetal,pico,596,10000,7952752,10882,882
baremetal,pico,597,10000,7960913,8161,-1839
baremetal,pico,598,10000,7971794,10881,881
baremetal,pico,599,10000,7982675,10881,881
baremetal,pico,600,10000,7990836,8161,-1839
baremetal,pico,601,10000,8001718,10882,882
baremetal,pico,602,10000,8012599,10881,881
baremetal,pico,603,10000,8020760,8161,-1839
baremetal,pico,604,10000,8031641,10881,881
baremetal,pico,605,10000,8042522,10881,881
baremetal,pico,606,10000,8050683,8161,-1839
baremetal,pico,607,10000,8061565,10882,882
baremetal,pico,608,10000,8072446,10881,881
baremetal,pico,609,10000,8083327,10881,881
baremetal,pico,610,10000,8091488,8161,-1839
baremetal,pico,611,10000,8102369,10881,881
baremetal,pico,612,10000,8113251,10882,882
