rcv_time_ns,seq,send_time_ns,latency_ns,missing_delta,parse_status
1916738968236891,499,1916738968220465,16426,0,OK
1916738968236891,500,1916738968220465,16426,0,OK
1916738998254938,501,1916738998220976,33962,0,OK
1916738998254938,502,1916738998220976,33962,0,OK
1916738998254938,503,1916738998220976,33962,0,OK
1916739028239467,504,1916739028223301,16166,0,OK
1916739028239467,505,1916739028223301,16166,0,OK
1916739028239467,506,1916739028223301,16166,0,OK
1916739058234737,507,1916739058220237,14500,0,OK
1916739058234737,508,1916739058220237,14500,0,OK
1916739058234737,509,1916739058220237,14500,0,OK
1916739088236469,510,1916739088220654,15815,0,OK
1916739088236469,511,1916739088220654,15815,0,OK
1916739088236469,512,1916739088220654,15815,0,OK
1916739118242405,513,1916739118222498,19907,0,OK
1916739118242405,514,1916739118222498,19907,0,OK
1916739118242405,515,1916739118222498,19907,0,OK
1916739148236897,516,1916739148220860,16037,0,OK
1916739148236897,517,1916739148220860,16037,0,OK
1916739148236897,518,1916739148220860,16037,0,OK
1916739178235463,519,1916739178220092,15371,0,OK
1916739178235463,520,1916739178220092,15371,0,OK
1916739178235463,521,1916739178220092,15371,0,OK
1916739208236417,522,1916739208220751,15666,0,OK
1916739208236417,523,1916739208220751,15666,0,OK
1916739208236417,524,1916739208220751,15666,0,OK
1916739238240057,525,1916739238225057,15000,0,OK
1916739238240057,526,1916739238225057,15000,0,OK
1916739238240057,527,1916739238225057,15000,0,OK
1916739268236364,528,1916739268220568,15796,0,OK
1916739268236364,529,1916739268220568,15796,0,OK
1916739268236364,530,1916739268220568,15796,0,OK
1916739298234781,531,1916739298220078,14703,0,OK
1916739298234781,532,1916739298220078,14703,0,OK
1916739298234781,533,1916739298220078,14703,0,OK
1916739328236384,534,1916739328220551,15833,0,OK
1916739328236384,535,1916739328220551,15833,0,OK
1916739328236384,536,1916739328220551,15833,0,OK
1916739358239339,537,1916739358223987,15352,0,OK
1916739358239339,538,1916739358223987,15352,0,OK
1916739358239339,539,1916739358223987,15352,0,OK
1916739388236997,540,1916739388220553,16444,0,OK
1916739388236997,541,1916739388220553,16444,0,OK
1916739388236997,542,1916739388220553,16444,0,OK
1916739418234748,543,1916739418219989,14759,0,OK
1916739418234748,544,1916739418219989,14759,0,OK
1916739418234748,545,1916739418219989,14759,0,OK
1916739448236203,546,1916739448220481,15722,0,OK
1916739448236203,547,1916739448220481,15722,0,OK
1916739448236203,548,1916739448220481,15722,0,OK
1916739478240046,549,1916739478224046,16000,0,OK
1916739478240046,550,1916739478224046,16000,0,OK
1916739478240046,551,1916739478224046,16000,0,OK
1916739508236464,552,1916739508220705,15759,0,OK
1916739508236464,553,1916739508220705,15759,0,OK
1916739508236464,554,1916739508220705,15759,0,OK
1916739538234752,555,1916739538219993,14759,0,OK
1916739538234752,556,1916739538219993,14759,0,OK
1916739538234752,557,1916739538219993,14759,0,OK
1916739568235892,558,1916739568220522,15370,0,OK
1916739568235892,559,1916739568220522,15370,0,OK
1916739568235892,560,1916739568220522,15370,0,OK
1916739598235624,561,1916739598219847,15777,0,OK
1916739598235624,562,1916739598219847,15777,0,OK
1916739598235624,563,1916739598219847,15777,0,OK
1916739628235783,564,1916739628220709,15074,0,OK
1916739628235783,565,1916739628220709,15074,0,OK
1916739628235783,566,1916739628220709,15074,0,OK
1916739658235293,567,1916739658220108,15185,0,OK
1916739658235293,568,1916739658220108,15185,0,OK
1916739658235293,569,1916739658220108,15185,0,OK
1916739688240747,570,1916739688222211,18536,0,OK
1916739688240747,571,1916739688222211,18536,0,OK
1916739688240747,572,1916739688222211,18536,0,OK
1916739718235776,573,1916739718220369,15407,0,OK
1916739718235776,574,1916739718220369,15407,0,OK
1916739718235776,575,1916739718220369,15407,0,OK
